Bob E.,"Kips Bay, Manhattan, NY",12/9/2022,1 star rating,Wow ... good food .. however we just sat and waited 2 hours from the time of ordering and receiving our food ... at a time when the restaurant was not overcrowded .... there really was no reason for the painful delay nor should the customer have to figure out what was the cause of delay. The front line service people offered several apologies ... when it was time to pay and add the tip ..  and it really wasn't their fault .... but absolutely terrible service from a restaurant that charges premium prices and represents themselves as an upper tier restaurant. I felt like I was at Friendly's. A terrible experience that left all of us feeling ripped off.
Allison H.,"Los Angeles, CA",9/29/2022,5 star rating,"Food was delicious, everyone loved what they ordered and the space is beautiful - calm and intimate with a slight chic but not too minimalist interior."
Emma M.,"NY, NY",12/8/2022,5 star rating,A very nice and fancy restaurant with a great atmosphere. The aesthetic was perfect for a date.
Alice R.,"Manhattan, NY",1/23/2022,4 star rating,"Date night before a Rangers game was here. I didn't have all the much to eat all day so I was a bit famished. We got the following:Crab toast: delicious! My date let me have 3/4 pieces (so romantic). It is a very simple dish where lumps of crab meat are placed on top of toasty bread with some aioli or sauce that you squeeze lemon on top. My date and I both think it is not necessary to put much work in a dish if you're using simple ingredients. I really loved this dish. Sort of craving it now... *****Sea bass: the show stopper of this dish is the yellow chunks on top that are actually compoted lemon rinds. It was cooked in a way that had a cooked potato texture. I had to have my date try it so I put a bit of everything on a spoon and he agreed. ****Kale salad: this was good for what it was, but I just dont like kale in general so my date finished this dish while I worked on the crab toast **Pear mylk punch: it tasted like Xmas morning, but I was not all that a fan of super sweet drinks. Overall, the drinks here is just okay for me. It was hard to find a cocktail that met up to my standards, but they did give me a buzz. I eventually got a gin based drink that I asked to replace with their vodka lemonade and it was like a fancier mimosa. It was okay, but just like a mimosa, they are very filling. I've had brunch here before by myself and I liked it then too. I was blown away by the first dish because of the crème fraise moment they had there. However, think this place was a bit more special and romantic last night because of my sweet date! Perfect romantic date night spot in my opinion! Also, can't really go wrong with Jean George!"
Flora H.,"New York, NY",6/21/2022,3 star rating,"*** 3.5 stars ***A bit loud, and the tables a bit close together, ABC Kitchen is still a very beautiful upscale spot that would be good to take someone that you are trying to impress. I really liked it here, but I did find the food to be a bit salty (yellowfin tuna crudo, fresh chili oil, crushed fennel seed & steamed black sea bass, roasted mushrooms and asparagus ginger-scallion condiment basil and lime). Don't get me wrong, everything was beautiful and the experience was wonderful, I just found the food to be lacking (definitely not bad, just not great) to live up to the ambiance."
Jessalyn S.,"East Bronx, NY",1/7/2022,4 star rating,Abc kitchen is great casual dinner date and the cocktails are sooo good. The restaurant is much larger in the inside than it looks on the outside. Very spacious and the tables are a good distance from each other.The waiter was incredible nice and gave really good recommendations. All the cocktails were delicious and we had to get a couple rounds to try them all. My favorites were the pear milk punch which sounds really weird but tastes very good. The smoke fig sour was yum as well. The waiter suggested we get the roast carrot and avocado and I was hesitant at first because it sounded plain but it actually really delicious. It's more savory than it sounds. The crab toast was good but nothing out of the world. My favorite dish was the black truffle pizza. It was SO good. We ended up ordering a second after finishing the first. It's a must of you go.
Douglas Z.,"New York, NY",9/23/2022,4 star rating,"I enjoyed my meal at ABC kitchen, despite it not being my usual type of meal. Everything tasted fresh and clean, with unique flavors.If you are eating here, make sure to get the chocolate cake with malt ganache & toasted marshmallow meringue. It is truly special, with various textures."
Emily M.,"Bloomsburg, PA",12/10/2022,5 star rating,Amazing vibes & food. We got the crab toast for an app & I got the sword fish for my meal. So yummy!
Sharanika A.,"Brooklyn, NY",12/24/2021,4 star rating,My review is actually like 4.5 stars. I wish I could give it 5 stars but we were freezing all night. There's no insulation in the building and we even moved our seats but staff did little to help us get warm. So I ordered tea lol. It was also half empty so maybe they rely on it being full to be warmer? Food was excellent as expected. Everything was beautiful and filled with fresh fruits and vegetables. The crab toast was delicious as expected and so was the sashimi. My favorite was the citrus salad which contained pretty much all of the citrus fruits imaginable! For our mains I got the fried chicken which I never do but it was quite light and lovely with the habanero sauce. My friend got the sea bass which was cooked to perfection and had a very rich soothing broth. We both ordered panna cotta for dessert but was already too full to enjoy the cranberries and biscuits (?) that come with it. I also got the ginger lime soda--yum!I'll definitely be back but wearing a thick sweater and layers next time!
Sarah M.,"Manhattan, NY",2/19/2022,4 star rating,"We had weekend brunch here recently. This is a busy and noisy place, but with a lively and fun feel. We got seated right away for our reservation.The breakfast potatoes in particular were really tasty--much better than an average side dish at brunch. My friend's crab toast was a nice portion with a lot of crab. The dutch baby was tasty and a different take on breakfast food.Everything tasted great! The service was just a bit spotty. One of our entrees did not come out right away, and it took a while to get our server's attention to get this corrected. Otherwise, we enjoyed our experience and would return."
Said E.,"Edgewater, NJ",6/15/2022,3 star rating,"I was there for a business lunch and I'm surprised that this restaurant has so many good reviews. To be fair, the restaurant has an amazing ambiance but it's very loud and the food is mediocre at best (and way overpriced for the quality of the food). I had crab toast (meh), sea bass (very disappointing, overcooked and way too salty), cappuccino (passable) and peach shortcake (original but just passable and way too sweet for a dessert that the waitress claimed to be a refreshing summer dessert). TLDR; worth visiting once but not a good restaurant with so many amazing options right around the corner."
Carol W.,"FRESH MEADOWS, NY",12/26/2021,4 star rating,"I had Saturday brunch at ABC Kitchen in a party of 5. We made a reservation so we didn't have to worry about waiting and were seated pretty quickly. There were a lot of interesting menu items so we ordered a bunch of different things for the table.Mushroom pizza - the flavor was okay, it was pretty oily so the crust got pretty soggy and all the toppings kind of fell off.Pistachio babka - really fragrant, highly recommend!Dutch pancakes - also really good with a custard-like texture Chicory salad - I got this cause of the figs but I would probably skip it next timeFrench fries/bacon - both fine, kind of what you would expectI really liked the ambience at ABC Kitchen and would really recommend it for a nice brunch in the city!!"
Annalise W.,"Brooklyn, NY",10/23/2021,4 star rating,"This review is for brunch only. Had a 1:30pm reservation on a Saturday and the restaurant wasn't too full. The restaurant itself is beautiful. Love the decor and the ambiance - this is a perfect place for a cute friend brunch. Service was fine as well. The food was pretty good. Nothing I would necessarily crave or go out of my way to come back for, but it was tasty enough, that the food on top of the ambiance would bring me back again. The menu on their website is a little different than what they actual serve FYI (eg: online has blueberry babka, but it wasn't on their actual menu) - this was disappointing. They also were sold out of the doughnuts which was disappointing. I ordered:-Baked Eggs: this was pretty good and surprisingly filling. Downside, I thought they were stingy with most of the toppings (bacon and sweet potatoes). It also had sliced jalapeños on top which the menu didn't list and I took off. -Peekytoe Crab Toast: this was good!-Side of Fries: these were good! Some crispy, some not but very good. -Spinach Goat Cheese Pizza: friend ordered this and she enjoyed. They definitely don't hold back on the spinach (it comes with A LOT). She said the pizza has kick to it -  they put red chili flakes on it."
Meaghan G.,"Jersey City, NJ",5/30/2022,4 star rating,"My friend made a reservation for brunch this past Saturday and we were seated right away. I ordered the soft boiled eggs, which comes with a side of toasted sourdough bread and she ordered the carrot and avocado salad with a side of chicken. We shared the crispy potatoes with garlic aioli. I really liked my dish - it was very refreshing and reminded me of a fancy deconstructed egg salad. My friend really enjoyed her salad dish and although salads typically aren't too filling, this one was filling enough that she had leftovers. We both enjoyed the potatoes - they were super crispy and well seasoned and the garlic aioli paired perfectly. The restaurant is decorated very nicely and has a really nice atmosphere. I would definitely recommend this restaurant to others!"
Dipesh H.,"Miami Beach, FL",11/20/2022,4 star rating,Good food and atmosphere. Great service and friendly. Accommodating. Very busy and noisy. But we could hear each other across the table. Not sure how that worked? I'd go back.
Alaina B.,"Syracuse, NY",8/11/2022,5 star rating,"Phenomenal food! I would recommend the duck and crab toast. They also have a great variety of drinks, there is something for everyone. It has a beautiful atmosphere and would be great for any occasion. Can't wait to go back!"
Gina G.,"Hayward, CA",9/23/2022,5 star rating,"The food here is phenomenal! I got the margherita pizza. Our party ordered duck , fried chicken, fries, and the brown butter cake.  Sooo good! The fries are to die for. The waiters and waitresses are nice and helpful. They took my coconut water when I had a sip left but was gone before i could say anything lol. My only suggestion would be to ask if they can take your food away first but it's ok, really great experience here!"
Jessica C.,"Brooklyn, NY",2/4/2022,4 star rating,"The food and drinks here were great! I tried most of the appetizers, the black truffle pizza, the scallops, and the Sea Bass. Although each scoop I had was great, I was dying to reorder the Peekytoe Crab Toast and the Long Island Fluke Tartare. There was a sweetness to the crab toast that gave it sweet and savory taste and made me request another round for the table mid-way through the meal. The tartar was also delicious but instead of sweetness, the standout flavor in this dish some tangy citrus. For drinks, I mostly stayed with wine but I do recommend the ginger margarita. Overall, I would return here in a heartbeat and I hope the crab toast is still on the menu ."
Jessica Y.,"New York, NY",1/23/2022,3 star rating,"I went to abc kitchen for my bday with 3 friends on a Sunday night 7pm. The restaurant was pretty quite. We were able to  enjoy a nice quite dinner with great ambiance. The hostess was very friendly. I sat at the bar while waiting for my friends, great service!For dinner, we got the sea bass, ricotta ravioli and the fried chicken: Sea bass 2.5/5Ricotta ravioli 3/5Fried chicken 3.5/5Chocolate cake 6/5Appetizer: Crab toast 5/5Calamari 4/5The decor was very beautiful but food needs improvement"
Chris And Tanja B.,"New York, NY",12/13/2022,2 star rating,"We had a group of about 10 people and honestly had some of the slowest service I have ever had in New York.  At this price point they need to be on it and not only did they take over 15 minutes to take our drink order, they also brought our first round of drinks after our mains arrived.... Food was ok but again I would say at this price point the service needs to greatly improve and I would expect a little more on the food quality as well."
Megha M.,"Queens, NY",8/3/2022,5 star rating,"My team hosted a small dinner here, and everything was perfect. The table setting, the servers, the attention to detail, and ofcourse food. We had a pre fixed sort of menu that included some amazing salads, chicken/fish for the main course, followed by a delicious dessert. We were sitting in a corner with very nice table setting and it wasnt too loud. Highly recommend for celebrations and group events."
Alec C.,"Downtown Jersey City, Jersey City, NJ",7/25/2021,5 star rating,"I went to ABC Kitchen for brunch on a Saturday. It wasn't too crowded, but was fairly busy by the time I left. The ambience of the restaurant is excellent. Tables are spacious and each table is distanced generously from other tables. Lighting and atmosphere are also good. The staff is courteous and attentive. We tried three dishes. The first dish we tried was the crab toast. It was crab served on crunchy toast with a lemon to squeeze on it. It was an excellent dish and I would order it again. We also had the strawberry compote with bread. The compote is served with some ricotta cheese as well to form a less viscous jam when mixed with the strawberry compte. The strawberry compote was flavorful, but I would probably pass on it if I came to ABC kitchen again for brunch. Finally, we had the Dutch pancake. I had never had a Dutch pancake before, so I didn't know what to expect. It was incredibly fluffy and tasty when combined with the provided lemon and syrup.I'm very curious to try ABC kitchen again for their other dishes. Among the places I have visited in NYC so far, I would definitely put ABC kitchen among the best that I have experienced so far."
Caroline D.,"Brooklyn, NY",1/13/2022,5 star rating,"Two words - crab toast. This is simply one of the best dishes that I've ever had, and something that will keep me returning to ABC Kitchen for as long as they offer it. The rest of the menu is great too - it's seasonal and highlights the freshest of ingredients - same with their cocktail list which is always evolving (the vodka thyme lemonade is one of my all time favorites).  I typically make a reservation, but sometimes they can squeeze in walk ins. It's also conveniently located in ABC Home so you can shop while you wait!"
Alina H.,"Jackson Heights, Queens, NY",12/15/2021,5 star rating,"As a Jean Georges restaurant, expectations were understandably high and ABC Kitchen did not disappoint! Ambiance was great, service was excellent and the food was even better!Truffle Pizza: Neither of us is a big fan of fried eggs, so we opted to leave off the cracked egg topping the pizza. The size was perfect for 2-3 people to share as a starter and the flavors were excellent. My only wish was that NYC pizzerias served it in the standard size so i could have boxes delivered to my apartment on a weekly basis. Sea Bass: By far my favorite item. It was so flavorful and fresh. The preserved lemons and pairing with baby potatoes and spinach complimented the natural flavors. It was also cooked to perfection with a wonderful flaky flesh and crispy seared crust. Fried Chicken: While I was really into the aesthetics and the unique take on fried chicken, the puffy crunch crust was the best part of the chicken. the meat itself was a little fatty and I felt it needed a bit more seasoning. The sauce underneath complimented the plainness of the chicken, but the blanched greens had no seasoning at all (including salt).For dessert we ordered the chocolate cake, panna cotta, and were surprised with a mini caramel popcorn sundae as a complimentary birthday treat. This was very sweet of the staff. All desserts were good, but did not match the creativity and the flavors of the dinner dishes. We also ordered wine and the citrus and sage cocktail which paired great with the light flavors of the food. Overall, the restaurant was fabulous and did a great job of maintaining safety standards and quality service. Will certainly be back for a restaurant week or other special occasion."
Minna C.,"Manhattan, NY",6/16/2021,4 star rating,"My friend made a reservation for 2pm on a Saturday and the place was packed! We were starving and ordered the Crawford cheddar biscuits, peekytoe crab toast, truffle pizza, and their cardamom Dutch baby pancake. We also got the lemon thyme mocktail which was refreshing with a light lingering taste of thyme which paired well with all of our savory dishes. The biscuits were flaky and buttery balls of perfection and their peekytoe crab toast had a generous amount of fresh crab. The star of the show was their truffle pizza with a farm egg on top. It was large enough to share with the perfect amount of truffle oil and cheese. The only disappointing part of the meal was the cardamom Dutch baby pancake. It was a little burnt and was slightly bitter. They also used quite a large amount of cardamom which also left quite an unpleasant taste in our mouths. They were kind enough to comp us the pancake since we couldn't eat it at all. This is a great place for brunch and drinks! Check out my foodsta @chiuventure for a closer look and more details of my dining experience here as well as other establishments in NYC and around the world!"
Scarlett M.,"Manhattan, NY",7/24/2022,4 star rating,"Delish food and drink. mostly amazing service from all staff. VERY LOUD and dimly lit. (dined 7/19/22, 2pple)"
Julie L.,"Houston, TX",12/13/2021,3 star rating,"It took us a while to find the restaurant because of a tiny sign. The food here was mediocre but enjoyed the candlelight, pretty flowers atmosphere. We were told by our waiter that the restaurant does not offer complimentary birthday dessert. we would have to order desserts and he will put a birthday candle on top."
David H.,"Encino, CA",9/24/2022,3 star rating,Service is great and the atmosphere is nice.  Everything about the food is really good EXCEPT the salt content.  Too much salt in almost everything!  Beautiful lobster roll with too much salt sprinkled on top.  Fries and chips with way too much salt. Pizza is too salty.  They should call this place ABC Salt.
Ken M.,"Manhattan, New York, NY",5/22/2021,5 star rating,"Summary: solid food. We came here because we are Jean Georges/Nougatine fanatics and wanted to see if we could taste his handprint hereTaste: the food was awesome. Compared to a typical restaurant that looks like this or serves similar menu items this place is clearly distinguished. I would say nougatine is still a tier above, but you can tell this is jg's handiwork as the flavor profiles are nuanced 1. Pretzel crusted calamari: calamari heaven. We sat down hungry and this hit the spot. The sauce that it comes with is amazing. The serving size is good for two people 2. Fluke tartare: also very good tartare - light and refreshing but also flavorful. Portion is a bit light so suitable for just a single person or at most two 3. Black Sea bass: good; nice and light but still flavorful. Served in a translucent broth that seems to be chicken based and added with yuzu. The overall portion is on the smaller side so if you're looking for comfort food then I'd recommend the burger 4. Burger: this is in the top 2-3 burgers I've had in New York. The patty was very juicy and tender, and the vinaigrette dressing on the lettuce cut through the fat and cheese very well. A filling portion for sure. The fries were also cooked nicely Drinks: cocktails here were AMAZING. Do not skip this!1. Rhubarb milk punch: I always order milk punch whenever I see it on a cocktail menu. For those who don't know what milk punch is, it's brandy or rum aged with milk and clarified with certain ingredients to remove the more harsh tastes from the alcohol. The result is an extremely smooth and sweet drink with clear color2.  Mezcalita: this was probably my favorite. Just a very well executed mezcalita; easy to drink3. Spring herb 75: this was really good too! Served in a champagne glass. Has a lot going on in terms of complex flavor profile but can be summarized as a sweet, fruity and slightly bubble drinkValue: on the pricier side but worth it. Our check for two people with the above came out to $190 after tax before tipAtmosphere: the main dining area is dimly lit with candles - honestly a really cool experience. This restaurant is actually connected to a bougie furniture store and has this unique rustic aesthetic Frequency: will definitely be back for the calamari, burger, and cocktails. I can see myself coming back once every 2-3 months"
Angelica N.,"Tallahassee, FL",10/25/2022,3 star rating,"The peeky toe crab & almost all of their desserts are phenomenal. However when I was there last month I ordered the duck breast & it came out extremely undercooked (almost raw). I didn't realize this in the low lighting, but shortly after taking the first bite I completely lost my appetite. They did afterwards bring me out a plate of the duck that was properly prepared but of course my whole family had already finished eating by the time this was done & after the feeling & taste of raw duck in my mouth I no longer was hungry."
Paulina Z.,"New York, NY",11/13/2021,1 star rating,"Pretty disappointed by this place. The service was sorely lacking. We came here for brunch and ordered the calamari, the crab toast, and the lobster. It took more than 10 minutes after sitting for our server to come and give us our menus. The service was very perfunctory, they didn't check on us at all except to refill our drinks occasionally. The worst part is that I've been having health issues. One of the side effects is hair loss AKA shedding. The server was noticeably grossed out as they were clearing the table and saw a few of my stray hairs on the plates. It may be not super fun but I don't think it was okay for them to say, ""ew, a hair"" aloud. It was clearly my hair and I apologized for it but I didn't feel great about it. They also did not respond to my apology which made me feel worse.The food was mediocre - the crab toast was pretty fishy and the calamari wasn't evenly breaded. The lobster was fine but not worth it at the market price. It was not especially unique. I would not recommend this place."
Maya N.,"New York, NY",5/1/2021,4 star rating,OK so the service just happened to be terrible this time but it is usually pretty good. However the Seabass was consistently bad. Overall a great place to eat if you want to do small plates and tapa style with a group but I do not recommend any of the Entrees. Overall it is fairly anti-inflammatory and relatively healthy with good taste. A good place to break your fast in Ramadan and the music is always 80s vibes
Sigmund S.,"Bronx, NY",10/9/2022,5 star rating,"Good food plan to return. The fried chicken, pasta, and duck (though a small portion according to my dining friend) were all yummy. The apple Ala mode and chocolate cake were fab. My one critique was the supetbdim lighting really  made reading the menu and seeing the food hatd."
Ina M.,"Hackensack, NJ",10/12/2021,4 star rating,"Nice ambiance, tasty drinks, and great desserts! That green juice cocktail was amazing. Felt healthy! Haha. The desserts were great. Tasty, but not overly sweet. Just a right balance. Would come back again."
Vickie L.,"Houston, TX",12/3/2021,3 star rating,"I came here with a group of 5! The tables are very long and makes it easy to eat comfortably with the amount of space available. The atmosphere is very candle lit date night vibes. Our service was top notch! However, the food was pretty mediocre. But I will say the crab toast was my favorite!"
Andrew M.,"New York, NY",12/1/2022,5 star rating,"Great food, especially the crab toast. There was also a fish dish that came in some broth that was excellent but I don't remember the name. Can't wait to go again."
Frank A.,"Manhattan, NY",9/20/2021,5 star rating,"Just stopped in for a late Sunday evening supper after cocktails nearby and ABC Kitchen did not disappoint. The crab toast was amazing as always. We also had some pizza, pasta and the ice cream sundae, it was all great."
Benny R.,"New York, NY",6/10/2022,4 star rating,"Dropped by here for an after-date drink and sat at the bar. What intrigued me was the cool, yet welcoming vibe. I went at night so the lights were kinda dim  (kinda hard to read the menu).  The bartender was friendly and the dining room looked busy. Would come again to try the food. Bar seats were slightly uncomfortable, though.  The place seemed a little one-note in terms of clientele, mainly millennial and gen x folks."
Shreya B.,"New York, NY",5/27/2022,4 star rating,"I came here for dinner with my cousins and had a lovely time. I think people come here for the ambience, dim lighting, string lights, floral arrangements, and long tables for larger parties. We ordered 2 pizzas (a spinach and goat cheese + a mushroom pizza), both which were pretty good. We also ordered ravioli, straciatella cheese which came with pita bread, and a kale salad. The portions are very small, so keep that in mind while ordering. We also ordered drinks which were quite tasty! While I won't say it was the best food I ever had, the experience was what made it a 4 star review in my mind. Staff was also very courteous!"
Sarah Y.,"Washington, DC",9/20/2022,2 star rating,We went as a group of 6 and tried over 10 dishes. 2/3rds of the dishes were so salty my throat felt parched. The prices are outrageous for the tiny amount of mediocre food you get. The only good thing was the decor and great service.  Honestly shocking how busy it was on a Tuesday night...
foodfoodfood f.,"Portland, OR",9/11/2022,5 star rating,"Brunch was absolutely delish. It was really hard to choose between savory or sweet - there were three kinds of fresh-baked goodies and cardamon pancakes... and did I mention all the dessert, like the peach shortcake and milk chocolate layer cake? Coffee was weak but the crispy potatoes with aioli were addictive and I loved the egg sandwich with sumac hot sauce and fontina."
malakial j.,"Kailua, HI",3/24/2022,5 star rating,"While I have eaten at ABC Kitchen many times, I had never been to brunch there until this last weekend. There were so many things I wanted to try and I changed my mind 100 times before deciding on the Dutch Baby and crispy bacon. The bacon came out very quickly, while understandably the Dutch Baby came out much later. It was delicious! The only problem with my meal is that it left me so full that I had no room left in my stomach and wasn't able to order my favorite sundae afterwards. Oh well...next time."
Abhishek M.,"Long Island, NY",8/29/2021,4 star rating,"I wish I could give 4.5 stars! The only reason it wasn't a full 5 stars is because, for the price ($21), I was expecting a much more flavorful hollandaise sauce on my eggs Benedict. I did switch out the ham for sautéed spinach, so maybe with the ham it would have been better. The blueberry babka bun and the baked eggs were absolutely delicious! And the chocolate layer cake and the peach tarte tatin were also excellent. Often chocolate layer cakes taste like ganache on Betty Crocker cakes, but the sponge itself had amazing flavor. I came out very full and very happy :) For the cocktails, we had the ginger margarita and the Paloma, which were good, but the salting of the rims was a little aggressive. I was also very happy to be introduced to Banyuls dessert wine which I cannot wait to buy a bottle of!"
